# Generated by tools/hexagon-diff/gen_cases.py from the Hexagon spec.
# TAG<TAB>ASM<TAB>word0,word1,...   (mcpu=hexagonv68)
A2_abs	R0=abs(R4)	8c84c080
A4_vcmpbgtui	P0=vcmpb.gtu(R5:4,#1)	dc44c020
A4_vcmpbgtui	P0=vcmpb.gtu(R5:4,#127)	dc44cfe0
A4_vcmpbgtui	P0=vcmpb.gtu(R5:4,#3)	dc44c060
A4_vcmpbgtui	P0=vcmpb.gtu(R5:4,#63)	dc44c7e0
A4_vcmpheqi	P0=vcmph.eq(R5:4,#-128)	dc04d008
A4_vcmpheqi	P0=vcmph.eq(R5:4,#-3)	dc04dfa8
A4_vcmpheqi	P0=vcmph.eq(R5:4,#0)	dc04c008
A4_vcmpheqi	P0=vcmph.eq(R5:4,#127)	dc04cfe8
A4_vcmpheqi	P0=vcmph.eq(R5:4,#63)	dc04c7e8
A4_vcmphgti	P0=vcmph.gt(R5:4,#-128)	dc24d008
A4_vcmphgti	P0=vcmph.gt(R5:4,#-3)	dc24dfa8
A4_vcmphgti	P0=vcmph.gt(R5:4,#0)	dc24c008
A4_vcmphgti	P0=vcmph.gt(R5:4,#127)	dc24cfe8
A4_vcmphgti	P0=vcmph.gt(R5:4,#63)	dc24c7e8
A4_vcmphgtui	P0=vcmph.gtu(R5:4,#0)	dc44c008
A4_vcmphgtui	P0=vcmph.gtu(R5:4,#1)	dc44c028
A4_vcmphgtui	P0=vcmph.gtu(R5:4,#127)	dc44cfe8
A4_vcmphgtui	P0=vcmph.gtu(R5:4,#3)	dc44c068
A4_vcmphgtui	P0=vcmph.gtu(R5:4,#63)	dc44c7e8
A4_vcmpweqi	P0=vcmpw.eq(R5:4,#-128)	dc04d010
A4_vcmpweqi	P0=vcmpw.eq(R5:4,#-3)	dc04dfb0
A4_vcmpweqi	P0=vcmpw.eq(R5:4,#0)	dc04c010
A4_vcmpweqi	P0=vcmpw.eq(R5:4,#127)	dc04cff0
A4_vcmpweqi	P0=vcmpw.eq(R5:4,#63)	dc04c7f0
A4_vcmpwgti	P0=vcmpw.gt(R5:4,#-128)	dc24d010
A4_vcmpwgti	P0=vcmpw.gt(R5:4,#-3)	dc24dfb0
A4_vcmpwgti	P0=vcmpw.gt(R5:4,#0)	dc24c010
A4_vcmpwgti	P0=vcmpw.gt(R5:4,#127)	dc24cff0
A4_vcmpwgti	P0=vcmpw.gt(R5:4,#63)	dc24c7f0
A4_vcmpwgtui	P0=vcmpw.gtu(R5:4,#0)	dc44c010
A4_vcmpwgtui	P0=vcmpw.gtu(R5:4,#1)	dc44c030
A4_vcmpwgtui	P0=vcmpw.gtu(R5:4,#127)	dc44cff0
A4_vcmpwgtui	P0=vcmpw.gtu(R5:4,#3)	dc44c070
A4_vcmpwgtui	P0=vcmpw.gtu(R5:4,#63)	dc44c7f0
A4_vrmaxh	R1:0=vrmaxh(R5:4,R8)	cb24c028
A4_vrmaxuh	R1:0=vrmaxuh(R5:4,R8)	cb24e028
A4_vrmaxuw	R1:0=vrmaxuw(R5:4,R8)	cb24e048
A4_vrmaxw	R1:0=vrmaxw(R5:4,R8)	cb24c048
A4_vrminh	R1:0=vrminh(R5:4,R8)	cb24c0a8
A4_vrminuh	R1:0=vrminuh(R5:4,R8)	cb24e0a8
A4_vrminuw	R1:0=vrminuw(R5:4,R8)	cb24e0c8
A4_vrminw	R1:0=vrminw(R5:4,R8)	cb24c0c8
A5_ACS	R1:0,P1=vacsh(R5:4,R7:6)	eaa4c620
A5_vaddhubs	R0=vaddhub(R5:4,R7:6):sat	c144c620
A6_vcmpbeq_notany	P0=!any8(vcmpb.eq(R5:4,R7:6))	d204e620
A6_vminub_RdP	R1:0,P1=vminub(R7:6,R5:4)	eae4c620
C2_all8	P0=all8(P1)	6ba1c000
C2_and	P0=and(P2,P1)	6b01c200
C2_andn	P0=and(P2,!P1)	6b61c200
C2_any8	P0=any8(P1)	6b81c000
C2_bitsclr	P0=bitsclr(R4,R6)	c784c600
C2_bitsclri	P0=bitsclr(R4,#0)	8584c000
C2_bitsclri	P0=bitsclr(R4,#1)	8584c100
C2_bitsclri	P0=bitsclr(R4,#3)	8584c300
C2_bitsclri	P0=bitsclr(R4,#31)	8584df00
C2_bitsclri	P0=bitsclr(R4,#63)	8584ff00
C2_bitsset	P0=bitsset(R4,R6)	c744c600
C2_ccombinewf	if (!P3) R1:0=combine(R4,R6)	fd04c6e0
C2_ccombinewt	if (P3) R1:0=combine(R4,R6)	fd04c660
C2_cmoveif	if (!P3) R0=#-2048	7ee8c000
C2_cmoveif	if (!P3) R0=#-3	7eefdfa0
C2_cmoveif	if (!P3) R0=#0	7ee0c000
C2_cmoveif	if (!P3) R0=#1023	7ee3dfe0
C2_cmoveif	if (!P3) R0=#2047	7ee7dfe0
C2_cmoveit	if (P3) R0=#-2048	7e68c000
C2_cmoveit	if (P3) R0=#-3	7e6fdfa0
C2_cmoveit	if (P3) R0=#0	7e60c000
C2_cmoveit	if (P3) R0=#1023	7e63dfe0
C2_cmoveit	if (P3) R0=#2047	7e67dfe0
C2_cmpeq	P0=cmp.eq(R4,R6)	f204c600
C2_cmpeqi	P0=cmp.eq(R4,#-3)	7524ffa0
C2_cmpeqi	P0=cmp.eq(R4,#-512)	7524c000
C2_cmpeqi	P0=cmp.eq(R4,#0)	7504c000
C2_cmpeqi	P0=cmp.eq(R4,#255)	7504dfe0
C2_cmpeqi	P0=cmp.eq(R4,#511)	7504ffe0
C2_cmpeqp	P0=cmp.eq(R5:4,R7:6)	d284c600
C2_cmpgt	P0=cmp.gt(R4,R6)	f244c600
C2_cmpgti	P0=cmp.gt(R4,#-3)	7564ffa0
C2_cmpgti	P0=cmp.gt(R4,#-512)	7564c000
C2_cmpgti	P0=cmp.gt(R4,#0)	7544c000
C2_cmpgti	P0=cmp.gt(R4,#255)	7544dfe0
C2_cmpgti	P0=cmp.gt(R4,#511)	7544ffe0
C2_cmpgtp	P0=cmp.gt(R5:4,R7:6)	d284c640
C2_cmpgtu	P0=cmp.gtu(R4,R6)	f264c600
C2_cmpgtui	P0=cmp.gtu(R4,#0)	7584c000
C2_cmpgtui	P0=cmp.gtu(R4,#1)	7584c020
C2_cmpgtui	P0=cmp.gtu(R4,#255)	7584dfe0
C2_cmpgtui	P0=cmp.gtu(R4,#3)	7584c060
C2_cmpgtui	P0=cmp.gtu(R4,#511)	7584ffe0
C2_cmpgtup	P0=cmp.gtu(R5:4,R7:6)	d284c680
C2_mask	R1:0=mask(P2)	8600c200
C2_mux	R0=mux(P3,R4,R6)	f404c660
C2_muxii	R0=mux(P3,#-128,#-128)	7bc0d000
C2_muxii	R0=mux(P3,#-3,#-3)	7bfeffa0
C2_muxii	R0=mux(P3,#0,#0)	7b80c000
C2_muxii	R0=mux(P3,#127,#127)	7bbfefe0
C2_muxii	R0=mux(P3,#63,#63)	7b9fe7e0
C2_muxir	R0=mux(P3,R4,#-128)	7364d000
C2_muxir	R0=mux(P3,R4,#-3)	7364dfa0
C2_muxir	R0=mux(P3,R4,#0)	7364c000
C2_muxir	R0=mux(P3,R4,#127)	7364cfe0
C2_muxir	R0=mux(P3,R4,#63)	7364c7e0
C2_muxri	R0=mux(P3,#-128,R4)	73e4d000
C2_muxri	R0=mux(P3,#-3,R4)	73e4dfa0
C2_muxri	R0=mux(P3,#0,R4)	73e4c000
C2_muxri	R0=mux(P3,#127,R4)	73e4cfe0
C2_muxri	R0=mux(P3,#63,R4)	73e4c7e0
C2_not	P0=not(P1)	6bc1c000
C2_or	P0=or(P2,P1)	6b21c200
C2_orn	P0=or(P2,!P1)	6be1c200
C2_tfrpr	R0=P1	8941c000
C2_tfrrp	P0=R4	8544c000
C2_vitpack	R0=vitpack(P1,P2)	8901c200
C2_vmux	R1:0=vmux(P3,R5:4,R7:6)	d104c660
C2_xor	P0=xor(P1,P2)	6b41c200
C4_and_and	P0=and(P1,and(P2,P3))	6b11c2c0
C4_and_andn	P0=and(P1,and(P2,!P3))	6b91c2c0
C4_and_or	P0=and(P1,or(P2,P3))	6b31c2c0
C4_and_orn	P0=and(P1,or(P2,!P3))	6bb1c2c0
C4_cmplte	P0=!cmp.gt(R4,R6)	f244c610
C4_cmpltei	P0=!cmp.gt(R4,#-3)	7564ffb0
C4_cmpltei	P0=!cmp.gt(R4,#-512)	7564c010
C4_cmpltei	P0=!cmp.gt(R4,#0)	7544c010
C4_cmpltei	P0=!cmp.gt(R4,#255)	7544dff0
C4_cmpltei	P0=!cmp.gt(R4,#511)	7544fff0
C4_cmplteu	P0=!cmp.gtu(R4,R6)	f264c610
C4_cmplteui	P0=!cmp.gtu(R4,#0)	7584c010
C4_cmplteui	P0=!cmp.gtu(R4,#1)	7584c030
C4_cmplteui	P0=!cmp.gtu(R4,#255)	7584dff0
C4_cmplteui	P0=!cmp.gtu(R4,#3)	7584c070
C4_cmplteui	P0=!cmp.gtu(R4,#511)	7584fff0
C4_cmpneq	P0=!cmp.eq(R4,R6)	f204c610
C4_cmpneqi	P0=!cmp.eq(R4,#-3)	7524ffb0
C4_cmpneqi	P0=!cmp.eq(R4,#-512)	7524c010
C4_cmpneqi	P0=!cmp.eq(R4,#0)	7504c010
C4_cmpneqi	P0=!cmp.eq(R4,#255)	7504dff0
C4_cmpneqi	P0=!cmp.eq(R4,#511)	7504fff0
C4_fastcorner9	P0=fastcorner9(P1,P2)	6b01e290
C4_fastcorner9_not	P0=!fastcorner9(P1,P2)	6b11e290
C4_nbitsclr	P0=!bitsclr(R4,R6)	c7a4c600
C4_nbitsclri	P0=!bitsclr(R4,#0)	85a4c000
C4_nbitsclri	P0=!bitsclr(R4,#1)	85a4c100
C4_nbitsclri	P0=!bitsclr(R4,#3)	85a4c300
